Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateMothball,DateOut,lat,lon,EIC,projectID,bus
Skagway 5,oil,oil,PP,US,0.8,,,,,,1986,,, ,59.4545,-135.3131,,6A,
Skagway 6,oil,oil,PP,US,1.1,,,,,,1996,,, ,59.4545,-135.3131,,7A,
Skagway 7,oil,oil,PP,US,0.8,,,,,,2022,,, ,59.4545,-135.3131,,8B,
Skagway 8,oil,oil,PP,US,1,,,,,,2009,,, ,59.4545,-135.3131,,9,
Haines 1,oil,oil,PP,US,1.2,,,,,,1991,,, ,59.235931,-135.446228,,10,
Haines 2,oil,oil,PP,US,1.9,,,,,,2006,,, ,59.235931,-135.446228,,11,
Haines 3,oil,oil,PP,US,1.5,,,,,,2021,,, ,59.235931,-135.446228,,12,
Haines 4,oil,oil,PP,US,0.6,,,,,,1968,,, ,59.235931,-135.446228,,5,
Haines 5,oil,oil,PP,US,2.8,,,,,,1995,,, ,59.235931,-135.446228,,7A,
Haines 6,oil,oil,PP,US,1.6,,,,,,1996,,, ,59.235931,-135.446228,,IC8A,
Swan Lake 1,hydro,Reservoir,PP,US,11.3,,,,,,1984,,, ,55.615208,-131.356111,,1,
Swan Lake 2,hydro,Reservoir,PP,US,11.3,,,,,,1984,,, ,55.615208,-131.356111,,2,
Terror Lake Microgrid 1,hydro,Reservoir,PP,US,11.2,,,,,,1984,,, ,57.6861,-152.895,,1,
Terror Lake Microgrid 2,hydro,Reservoir,PP,US,11.2,,,,,,1984,,, ,57.6861,-152.895,,2,
Terror Lake Microgrid 3,hydro,Reservoir,PP,US,11.2,,,,,,2014,,, ,57.6861,-152.895,,3,
Venice Hydro 1,hydro,Reservoir,PP,US,10.1,,,,,,1982,,, ,34.01135,-118.4168,,1,
Hank Nikkels Plant 1 1,OCGT,OCGT,PP,US,48.9,,,,,,2007,,, ,61.2221,-149.8661,,3R,
Hank Nikkels Plant 1 2,OCGT,OCGT,PP,US,27,,,,,,1972,,, ,61.2221,-149.8661,,4,
Hank Nikkels Plant 1 3,oil,oil,PP,US,2,,,,,,2012,,, ,61.2221,-149.8661,,P1 BS,
Eklutna Hydro Project 1,hydro,Reservoir,PP,US,22.2,,,,,,1955,,, ,61.475211,-149.15009,,1,
Eklutna Hydro Project 2,hydro,Reservoir,PP,US,22.2,,,,,,1955,,, ,61.475211,-149.15009,,2,
Snettisham 1,hydro,Reservoir,PP,US,23.6,,,,,,1973,,, ,58.1415,-133.737,,1,
